tweetId,user,created,no_of_likes,source_of_tweet,sentiment,,,
21,LeoKemboi,2023-04-08 10:57:00+00:00,2,None,Analysis of the Auditor General’s Report on the Covid-19 Vaccine Rollout in Kenya https://t.co/LAHmJYsZXx,,,
22,VybezRadioKE,2023-04-06 11:18:06+00:00,2,None,Susan Mutua-Dandora one Facility in charge: Hakuna report yoyote ya side effects za covid 19 vaccine  tumeletewa kwa watu wote wamechanjwa tangu vaccination ianze in Kenya.\n#PataChanjoKaaChonjo #...,,,
23,mkombozi70,2023-04-05 01:33:00+00:00,0,None,@Amref_Kenya @MOH_Kenya @PSKenya_ The COVID-19 vaccine scandal is in the open and this time we won't be fooled.\nYou can fool the people sometimes but you can't fool all the time,,,
24,IEAKenya,2023-04-04 11:50:58+00:00,12,None,"NEW BRIEF: Analysis of the Auditor General’s Report on the Covid-19 Vaccine Rollout in Kenya as of March 31, 2022. \n\nRead: https://t.co/kACP2LoelK https://t.co/3pgzezsfrl",,,
25,EdwinOdinga1,2023-04-01 06:36:02+00:00,1,None,America using Kenya's faulty brains to  take  advantage of small things to enslave us\nWhat is the need of the moderna company in Kenya\nCOVID 19 vaccines was just business and it ended\nPlease av...,,,
26,OleMarangu,2023-03-31 14:27:00+00:00,0,None,"@spastrategysyst Wrong perception of why, what and how Moderna is going to operate in Kenya. Read more about their other work apart from Covid-19 vaccines. Their sole work is NOT to produce COVID ...",,,
27,kurgatkogeyben,2023-03-31 06:58:54+00:00,22,None,President William Ruto yesterday announced a deal worth 65 billion for a moderna mRNA vaccine factory in Kenya. \nFacility worth billions but sadly will cost people their lives or expose them  per...,,,
28,s_nellard,2023-03-29 20:17:14+00:00,0,None,What vaccines does the US want to manufacture in Kenya tailored for us? Because even Covid_19 vaccines we didn't take and the stock expired we didn't take @USAmbKenya https://t.co/MrBjcozdhI,,,
29,JustinTenai,2023-03-29 07:51:28+00:00,9,None,USICHOCHWE! \n\nThere is no scientific proof of any association between COVID-19 vaccines and fertility impairment in men.\n\n#PataChanjoTuweChonjo\n@047County \n@WorldVisionKE \n@MOH_Kenya \n@USA...,,,
30,muli_brian_,2023-03-29 07:40:59+00:00,60,None,Good morning friends. Make sure you get your COVID-19 vaccine in time. Hii chanjo haitafanya upoteze nguvu za kiume. Kila mtu anaweza jikinga Sasa hivi.\n #PataChanjoTuweChonjo\n@047County @WorldV...,,,
31,ClayOGStoner_,2023-03-28 19:36:49+00:00,0,None,I'm still the one conspiracy theorist in Kenya yet to be fazed... I was right about COVID-19 and the vaccines, right about pedophiles using LGBTQIA movement as a front to normalize their queer sex...,,
32,TaitaTaveta006,2023-03-28 17:11:32+00:00,1,None,The integration strategy is among the effective interventions the County in partnership with the National @MOH_Kenya are applying to increase uptake of COVID-19 vaccines. https://t.co/NddTQnp11m,,,
33,JustinTenai,2023-03-28 06:31:46+00:00,10,None,There is no scientific proof of any association between COVID-19 vaccines and fertility impairment in men or women.\n#PataChanjoTuweChonjo\n@047County \n@WorldVisionKE \n@MOH_Kenya \n@USAIDKenya \...,,,
34,muli_brian_,2023-03-27 13:55:47+00:00,8,None,Covid-19 vaccine is safe for everyone including the pregnant mothers in the society. This is a way to protect the baby and the family and friends. Tunapaswa ku #PataChanjoTuweChonjo\n@047County \n...,,,
35,fdaghana,2023-03-27 11:54:17+00:00,1,None,"1) …Review and discuss adverse events of interest identified from COVID-19 vaccines in Ghana, Nigeria, Kenya Ethiopia and South Africa… https://t.co/6LWFxLkx3M",,,
36,Knightly_Maina,2023-03-26 08:17:10+00:00,39,None,There is no known risk in giving COVID-19 vaccines to people who are breastfeeding. You should not stop breastfeeding to be vaccinated against COVID-19.\n\n#PataChanjoTuweChonjo\n@047County \n@Wor...,,,
37,peoplesvaccine,2023-03-25 12:05:35+00:00,11,None,"“When people in the UK received COVID-19 vaccines, we had none in Kenya.\n\n“Western governments paid more, they hoarded more, and they left people like me in the global south without vaccines. Th...",,,
38,AUBingwa,2023-03-24 07:28:13+00:00,35,None,"During the Young African leadership Initiative (YALI) meeting in Nairobi, Kenya, Bingwa @LeonOmwine  engaged young African leaders in attendance on key roles they need to play to deliver the #AUBi...",,,
39,VaccinesKenya,2023-03-23 13:12:35+00:00,8,None,Where can I get the COVID-19 vaccine? Vaccines are administered at vaccination centers and through outreach services which are assigned by the Ministry of Health. They are free of charge for all p...,,,
40,GetBasedNow,2023-03-23 12:37:22+00:00,1,None,"@wuon_ogwari @CBCC_Africa @MOH_DHP @MOH_Kenya @WorldVisionKE @USAIDKenya @047County @VaccinesKenya ""Available data on Pfizer-BioNTech COVID-19 Vaccine administered to pregnant women are insufficie...",,,
41,NancieMumbo,2023-03-23 11:50:39+00:00,3,None,COVID-19 vaccines are strongly recommended in pregnancy. Vaccination is the best way to protect against the known risks of COVID-19 in pregnancy for both the mother  and babies\n\n#PataChanjoTuweC...,,,
42,otieno_tebby,2023-03-23 09:13:37+00:00,3,None,"3 years after #COVID19 pandemic,a family in Nairobi share their story @ScholarMediaAfr Nairobi county is also targeting schools in its COVID-19 vaccination drive towards achieving herd immunity @M...",,,
43,itsmekamau,2023-03-22 13:21:06+00:00,6,None,Covid 19 vaccine now available in  all health facilities ensure you get vaccinated and protect your loved one's. \nhttps://t.co/69wniVpUA3\n#PataChanjoTuweChonjo​\n@047County \n@WorldVisionKE \n@M...,,,
44,DaveKengabi,2023-03-21 09:16:03+00:00,14,None,Getting covid-19 vaccine will help you in protecting your loved ones from getting covid-19 virus.\nhttps://t.co/jjKbO0OEkd\n#PataChanjoTuweChonjo\n@CBCC_Africa \n@WorldVisionKE\n@USAIDKenya\n@MOH_...,,,
45,JustinTenai,2023-03-19 05:53:48+00:00,7,None,"FACT: Currently, no evidence shows that COVID-19 vaccines cause fertility problems in women or men.\n\n#PataChanjoTuweChonjo\n@CBCC_Africa \n@WorldVisionKE\n@USAIDKenya\n@MOH_Kenya \n@MOH_DHP \n@0...",,,
46,Isaac_Emoto,2023-03-17 09:20:03+00:00,6,None,"As I was strolling around Bombolulu estate in Mombasa, Kenya. I was able to persuade the young lady from coastal college for beauty to get the COVID 19 vaccine after a 3-Year hesitation period @AU...",,,
47,Nakhumicha_S,2023-03-16 13:39:29+00:00,180,None,"Met with H.E Ambassador Maarten Brouwer 🇳🇱 to discuss the ongoing cooperation btwn 🇰🇪 and 🇳🇱 in the health sector. I thanked Ambassador Brouwer for the Dutch Government's donation of 750,700 doses...",,,
48,MOH_Kenya,2023-03-16 10:28:56+00:00,2,None,"This includes the Dutch Government's donation of 750,700 doses of the AstraZeneca Covid-19 vaccine, which has been instrumental in Kenya's fight against the pandemic. https://t.co/FrUTya8Wtp",,,
49,MaggieWooK,2023-03-13 12:29:21+00:00,6,None,"Initial guidance excluded pregnant women from COVID-19 vaccination had lasting impacts on vaccine hesitancy - Dr Angela Koech on research in Kilifi, #Kenya \n\n@angela_koech @PRECISE_network @Mama...",,,
50,Lavende_akinyi,2023-03-10 15:21:42+00:00,9,None,WHO is currently taking part in negotiation on finding the way forward in dealing with COVID-19 vaccine.\n#Neveragain\n#Peoplesvaccine\n#Vaccineinequality\n#UniversalHealthCare\n#Gpende\n#polycoms...,,,
51,DleinX,2023-03-10 14:32:44+00:00,5,None,@polycomdev @whiteband @peoplesvaccine @nyasigoti @Winnie_Byanyima @WHOKenya @WHO @MOH_Kenya @PVA_Africa @TheSafecityApp @woman_kind refers to the unequal distribution of COVID-19 vaccines around ...,,,
52,Atienoclaire12,2023-03-10 14:15:10+00:00,7,None,"Globally COVID-19 left a scar, there's still inequality in vaccine distribution which causes death.\n @polycomdev\n@peoplesvaccine\n @voicetweetz\n@TheSafecityApp\n@VitalVoices \n@nyasogoti \n@MOH...",,,
53,ReginaldOduor,2023-03-09 13:14:15+00:00,4,None,1/2Today I had the pleasure of presenting a paper titled “The Ethical Implications of COVID-19 Vaccine Mandates and Related Issues” to the 7th Bioethics Society of Kenya conference. Much easier  n...,,,
54,Jhpiego,2023-03-03 22:14:05+00:00,1,None,"In #Kenya, safety, myths and availability influenced pregnant and lactating women’s decisions to get the #COVID-19 #vaccine. Read the study in Vaccine via @sciencedirect:  https://t.co/kldr4ff57d ...",,,
55,irck_info,2023-03-03 12:20:59+00:00,14,None,"Inter-Religious Council of Kenya, Executive Members led by the Vice Chair, Dr F.S. Abdalla shared on Religious Leaders' role in advocating for the uptake of COVID-19 vaccine; mobilizing out-of-sch...",,,
56,Jhpiego,2023-02-27 12:04:05+00:00,4,None,"In #Kenya, safety, myths and availability influenced pregnant and lactating women’s decisions to get the #COVID-19 #vaccine. Read the study in Vaccine via @sciencedirect:  https://t.co/kldr4ff57d ...",,,
57,ajlamesa,2023-02-26 21:35:54+00:00,7,None,"The median age in Kenya is 20 years old. That was not a population at high risk from Covid-19, even before vaccines.",,,
58,VaccinesKenya,2023-02-17 16:23:53+00:00,6,None,Where can I get the COVID-19 vaccine? Vaccines are administered at vaccination centers and through outreach services which are assigned by the Ministry of Health. They are free of charge for all p...,,,
59,CisNyakundy,2023-02-14 04:59:33+00:00,19,None,"Hospital’s scandal\n\nDuring the height of Covid-19 pandemic in Kenya, Coptic hospital was caught selling Covid-19 vaccine certificates to anyone who would pay.",,,
60,chesbro_mitch,2023-02-13 19:33:33+00:00,0,None,"""A series of shots.""......Bill Gates sterilization program in Kenya.\nCovid-19 vaccines require ""A series of shots."" https://t.co/FBLULb2XY6",,,
61,estrella1724,2023-02-13 14:03:19+00:00,0,None,@Kate_L_OBrien @MOH_Kenya @WHOKenya @WHO opinion: make the antvirals for Covid-19 available in all pharmacies worldwide FDA approved so doctors can prescribe. and just end the Covid-19 public heal...,,,
62,WHOKenya,2023-02-13 12:49:34+00:00,9,None,"@WHO director - Immunization, Vaccines & Botanicals Dr Kate O’brien today made a courtesy call & held discussions with MOH PS @DrJ_Mburu.\n  She  lauded Kenya for its resilience in sustain...",,,
63,VIBRIAfrica,2023-02-05 14:00:33+00:00,2,None,"VIBRI is proud to announce its upcoming VIBRI Africa COVID-19 vaccine trial Investigator Meeting, taking place at the Sarova Hotel in Kisumu, Kenya from February 6th to 8th, 2023. https://t.co/hTv...",,,
64,twain254,2023-02-01 17:41:13+00:00,0,None,"The plant is projected to be completed in 2024.\nOnce completed, the manufacturing facility in Kenya will be the first in Africa to produce messenger RNA (mRNA) vaccines, including Covid-19 shots\...",,,
65,revolutionery21,2023-02-01 08:14:28+00:00,0,None,"Once completed, the manufacturing facility in Kenya will be the first in Africa to produce messenger RNA (mRNA) vaccines, including Covid-19 shots.",,,
66,ReginaldOduor,2023-01-30 11:50:58+00:00,0,None,@MOH_Kenya  what do you say about the latest revelations concerning COVID-19 vaccine injuries? Do you really still believe in your Covid-19 vaccine mandates? Is it not high time you dropped them? ...,,,
67,FrontComm,2023-01-25 16:39:32+00:00,1,None,New Research: A qualitative inquiry in understanding trusted media sources to reduce vaccine hesitancy among Kenyans: COVID-19 vaccine rollout in Kenya has been challenged by both the supply of an...,,,
68,Carol_Makandi,2023-01-24 17:26:42+00:00,3,None,"@C_NyaKundiH I wonder if MOH is recording COVID-19 vaccine injuries in Kenya 😏. \nThere are reports of so many vaccinated people getting heart attacks and other injuries, and some end up dead 😞.\n...",,,
69,outbreaksci,2023-01-23 11:53:20+00:00,0,None,"New preprint: Determinants of Covid-19 vaccine uptake among the elderly aged 58 years and above in Kericho County, Kenya: Institution based cross sectional survey https://t.co/e309kHAKSm #COVID19",,,
70,COVID19arXiv,2023-01-23 00:33:12+00:00,0,None,"𝗧𝗶𝘁𝗹𝗲: Determinants of Covid-19 vaccine uptake among the elderly aged 58 years and above in Kericho County, Kenya: Institution based cross sectional survey..\n𝗔𝘂𝘁𝗵𝗼𝗿𝘀: Calvince  Otieno Anino, Imma...",,,
71,JosiahWaweru8,2023-01-20 07:12:53+00:00,0,None,Kenya administration/Kenya parliament those people in Kenya 100% preaching cancer HIV/AIDS  mental health vaccine Covid 19 \n100% healed by 100% vaccine from drug marijuana \nWere you inside UK Ca...,,,
72,outbreaksci,2023-01-19 11:42:21+00:00,0,None,"New preprint: Determinants of Covid-19 vaccine uptake among the elderly aged 58 years and above in Kericho County, Kenya: Institution based cross sectional survey. https://t.co/e309kHAKSm #COVID19",,,
73,MOH_Kenya,2023-01-19 09:05:43+00:00,21,None,Make your health and that of your loved ones a priority by getting vaccinated against #COVID-19. The vaccine is safe and available in all vaccination centers across the country.\n\nChanjwa! Pata C...,,,
74,AbbottMaverick,2023-01-18 23:10:58+00:00,0,None,"""The company, whose COVID-19 vaccines are made in the United States and Switzerland, is building or planning to build plants in Canada, Australia, Britain and Kenya, he said.""\n\nNOT in NSW: Repub...",,,
75,AmeshAA,2023-01-18 17:53:00+00:00,0,None,"“The company, whose COVID-19 vaccines are made in the United States and Switzerland, is building or planning to build plants in Canada, Australia, Britain and Kenya” https://t.co/RUTsjoKWG4",,,
76,medrxivpreprint,2023-01-18 17:12:53+00:00,0,None,"Determinants of Covid-19 vaccine uptake among the elderly aged 58 years and above in Kericho County, Kenya: Institution based cross sectional survey.  https://t.co/MdJY6u6J9j #medRxiv",,,
77,GeorgeAduda5,2023-01-15 17:47:50+00:00,0,None,"It seems there are many Kenyans who got scary side effects from the Covid-19 vaccine but nobody tells their stories, suffering in silence and spending millions to treat... Like that young man whos...",,,
78,jumaf3,2023-01-15 05:35:42+00:00,85,None,"It seems there are many Kenyans who got scary side effects from the Covid-19 vaccine but nobody tells their stories, suffering in silence and spending millions to treat... Like that young man whos...",,,
79,Carol_Makandi,2023-01-13 20:09:20+00:00,5,None,I wonder if MOH is recording COVID-19 vaccine injuries in Kenya 🤔. \n\nPoor child 😥.\n#vaccineinjuries\n#VaccineDeaths,,,
80,AfricaInFocus_,2023-01-13 20:04:58+00:00,30,None,A boy from Kilifi county in Kenya developed a tumour after being administered the COVID 19 vaccine.\n\nThe young man who took a Pfizer shot on February of 2022 has had to live with the tumour for ...,,,
81,UM_cghe,2023-01-13 15:41:23+00:00,4,None,"Assessing vaccine refusal in Kenya, @AKUGlobal @UMich researchers & team found significant interactions with time and: refugee status/geography, COVID-19 symptoms & believing misinformatio...",,,
82,AndrewJFrankli1,2023-01-12 16:52:09+00:00,0,None,@EngXamseYusuf @Actual_Ffej @BernieSanders But I’m a US Citizen—and former Marine—living in Kenya where the Ministry of Health decreed that all vaccines be given without charge in order to mitigat...,,,
83,USAIDKenya,2023-01-12 06:00:31+00:00,9,None,#BestMoments2022: More than 6.5 million Kenyans were fully vaccinated against COVID-19 in 2022. This was in part through USAID's support and the more than 12.3 million COVID-19 vaccine doses donat...,,,
84,BagaiDr,2023-01-11 01:15:11+00:00,3,None,"A survey of COVID-19 vaccine acceptance across 23 countries in 2022(Brazil,Canada,China,Ecuador, France, Germany, Ghana, India, Italy, Kenya, Mexico,Nigeria, Peru,Poland, Russia, Singapore, https:...",,,
85,MOH_Kenya,2022-12-27 08:43:44+00:00,18,None,"Don’t put your loved ones at risk! Stay safe by completing your recommended dose of the #COVID-19 vaccine. It is available in all vaccination centers across the country.\n \nChanjwa! Pata Chanjo, ...",,,
86,PSKenya_,2022-12-27 06:00:33+00:00,12,None,"Don’t put your loved ones at risk! Stay safe by completing your recommended dose of the #COVID-19 vaccine. It is available in all vaccination centers across the country.\n\nChanjwa! Pata Chanjo, t...",,,
87,TrustedHealth2,2022-12-26 13:18:44+00:00,0,None,TrustHealthInf: Frequently asked questions on #Covid 19 #vaccines\n\nhttps://t.co/vw1lL73Tid\n\n 2 shot dead by al-Shabab militants in coastal Kenya,,,
88,TrustHealthInf,2022-12-26 12:51:16+00:00,0,None,Frequently asked questions on #Covid 19 #vaccines\n\nhttps://t.co/9KgwvlEqPq\n\n 2 shot dead by al-Shabab militants in coastal Kenya,,,
89,shecyclesnbi,2022-12-24 15:04:18+00:00,11,None,"There was a lady scientist who was collecting data on post COVID 19 vaccine shot menstrual cycle upsets...\n\nNow I'm reading about OBGYNs reporting rise in miscarriages, infertility, abnormal pap...",,,
90,TrustedHealth2,2022-12-21 11:22:13+00:00,0,None,TrustHealthInf: Frequently asked questions on #Covid 19 #vaccines\n\nhttps://t.co/pZ0Mas2HH7\n\n Suspected extremists attack police in northern Kenya, 3 dead,,
91,TrustHealthInf,2022-12-21 10:54:59+00:00,0,None,Frequently asked questions on #Covid 19 #vaccines\n\nhttps://t.co/foNKNPBxdm\n\n Suspected extremists attack police in northern Kenya, 3 dead,,
92,JD1776_1791,2022-12-20 11:53:32+00:00,0,None,@LivePDDave1 Biden won the 2020 election.\nNancy Pelosi insider trading\nCovid-19 was created for the vaccine.\nCentral Banking System \n16th amendment\nObama was born in Kenya\nCIA killed JFK,,,
93,AgeingAcf,2022-12-20 09:40:27+00:00,8,None,Community outreaches must #LeaveNoOneBehind \nOur CHVs mobilising older persons with disabilities for #COVID-19 vaccine access and uptake in Kakamega county.\n\n@InnocentMugabe\n@HelpAge @USAID_MO...,,,
94,MOH_Kenya,2022-12-14 09:33:46+00:00,14,None,Step up for your family and loved ones this festive season by completing your recommended dose of the #COVID-19 vaccine. It is free and available nationwide in over 6000 facilities.\n \nChanjwa! P...,,,
95,SpaceAddicts,2022-12-12 16:09:22+00:00,2,None,"We say, 7.7 Billion unaccounted \r for COVID-19 Funds by counties could have built a Vaccine manufacturing facility\r in Kenya.\n\n#BeiYaUnga\nhttps://t.co/WSi9TXwEyL",,,
96,TrustedHealth2,2022-12-07 13:18:40+00:00,0,None,TrustHealthInf: Frequently asked questions on #Covid 19 #vaccines\n\nhttps://t.co/S5Sa8sM2sx\n\n Report: Killing of Pakistani journalist in Kenya 'planned',,,
97,TrustHealthInf,2022-12-07 12:55:00+00:00,0,None,Frequently asked questions on #Covid 19 #vaccines\n\nhttps://t.co/ahZaONcedC\n\n Report: Killing of Pakistani journalist in Kenya 'planned',,,
98,Ciheb_Kenya,2022-12-06 14:53:36+00:00,24,None,"Did you know that the COVID-19 pandemic interrupted immunization services and caused delays in seeking immunization services, and increased children missing doses of recommended vaccines? Thus, th...",,,
99,MOH_Kenya,2022-12-06 06:54:54+00:00,15,None,"The holiday season is fast approaching, get #vaccinated against #COVID-19 before visiting your loved ones in order to keep them safe and protected against the disease.\n \nThe vaccine is free and ...",,,
100,namaleshahista,2022-12-03 14:40:59+00:00,0,None,"Uganda virus Research institute, @MinofHealthUG & partners are undertaking research on vaccine trial, response and uptake in two countries of Kenya & Uganda. According to the UVRI, vaccine...",,,
101,DalbergImplemnt,2022-11-28 07:34:26+00:00,3,None,"Alongside the Kenya Private Sector Alliance, the Kenya Ministry of Health, the Kenya Medical Supplies Authority, and over 50 approved health facilities country-wide, Dalberg Implement played a key...",,,
102,oumacollins10,2022-11-25 12:36:21+00:00,6,None,"who are these ""RATS""(mouse) go to Kenya they are eating the evidence from police offices and in Uganda Minister Dr. Monica Musenero cannot account for them. She procured at UGX 8M for Covid-19 vac...",,,
103,Health_X_Africa,2022-11-25 06:43:57+00:00,0,None,"Nearly 40 million children are susceptible to measles - @WHO Declines in vaccine coverage, weakened surveillance, and interruptions and delays in immunization due to COVID-19 contribute, including...",,,
104,AgeingAcf,2022-11-24 23:06:22+00:00,7,None,Older persons #COVID-19 vaccine access and uptake mobilization team in #Siaya County. A training session for #CHVs and #CMs .\n@MOH_Kenya @JSIhealth @USAID_MOMENTUM @HelpAgeAfrica @RoseKihumba htt...,,,
105,PSKenya_,2022-11-24 11:07:27+00:00,13,None,The #COVID-19 vaccine is recommended for all eligible populations & is available in over 6000 facilities nationwide. \n\nComplete all doses of the vaccine to stay protected. \n\nChanjwa! Pata ...,,,
106,MOH_Kenya,2022-11-24 10:11:02+00:00,4,None,The #COVID-19 vaccine is recommended for all eligible populations. It is available in over 6000 facilities nationwide.\n \nEnsure that you stop by your nearest facility and complete your recommend...,,,
107,irck_info,2022-11-23 11:30:00+00:00,19,None,".@irck_info Je wewe umechanjwa?\n\nReligious Leaders in the counties are leading their congregants to take the COVID-19 vaccine.\n\nChanjwa! Pata Chanjo, tuwe Chonjo!\n#Chanjwa #TuweChonjo\n\n@UNI...",,,
108,COVIDMDPI,2022-11-23 02:39:00+00:00,2,None,"COVID-19 Knowledge, Attitudes and Practices and Vaccine Acceptability in Rural Western Kenya and an Urban Informal Settlement in Nairobi, Kenya: A Cross-Sectional Survey\n\nRead this paper here:\n...",,,
109,hazelrobai,2022-11-22 05:15:46+00:00,65,None,My common agenda with @AUBingwa initiative under @AfricaCDC in partnership with @MastercardFdn is Saving Lives and Livelihood across Africa. \n\nI am deeply honoured to represent Kenya for the @_A...,,,
110,Kmet_Kenya,2022-11-21 20:30:18+00:00,2,None,"Today we met journalists from the community and mainstream media drawn from Kakamega, Vihiga, and Kisumu counties in an interactive forum to debunk Misinformation about COVID-19 Vaccines facilitat...",,,
111,es_iode_ai,2022-11-21 00:13:18+00:00,0,None,📃Scientific paper: Determinants of COVID-19 vaccine behaviour intentions among the youth in Kenya: a cross-sectional st... @EthicSeido #covid #science #health #medical #study #research #covid19 #S...,,,
112,StateDept,2022-11-19 04:00:01+00:00,155,None,"Over the last 3 weeks, we’ve delivered over 6.4 million COVID-19 vaccine doses to Angola, Cabo Verde, the Democratic Republic of Congo, Kenya, Mali, Mozambique, and Zambia. The U.S. is pleased to ...",,,
113,MOH_Kenya,2022-11-18 15:12:33+00:00,6,None,Joyce got fully #vaccinated in order to keep her and her loved ones safe from #COVID-19. Je umechanjwa?\n \nVisit your nearest health center and complete your recommended dose of the vaccine.\n \n...,,,
114,TrustedHealth2,2022-11-17 09:18:44+00:00,0,None,TrustHealthInf: Frequently asked questions on #Covid 19 #vaccines\n\nhttps://t.co/C7dHHIfDAe\n\n 2 killed in second Kenya building collapse this week,,,
115,TrustHealthInf,2022-11-17 08:51:51+00:00,0,None,Frequently asked questions on #Covid 19 #vaccines\n\nhttps://t.co/A3vAXxU652\n\n 2 killed in second Kenya building collapse this week,,,
116,irck_info,2022-11-17 04:30:00+00:00,14,None,Have you been vaccinated?\n\nInter-Religious Council of Kenya in partnership with @MOH_Kenya and @UNICEFKenya through Religious Leaders across the counties are leading their congregants in the upt...,,,
117,irck_info,2022-11-12 10:05:47+00:00,9,None,Turkana County is ranked 36 out of 47 counties in terms of the COVID-19 vaccination process. Religious Leaders supported by @UNICEFKenya in Turkana County continue partnering with @MOH_Kenya to ad...,,,
118,Visionheight2,2022-11-10 01:19:00+00:00,1,None,"@Fred73938810 @nyar_asego And why were thousands dying in Italy, USA, Brazil and South Africa and even Kenya and Iran etc, was it not because of the pandemic COVID-19?? Thanks to the COVID-19 vacc...",,,
119,PSKenya_,2022-11-09 14:16:43+00:00,2,None,"Je umechanjwa?\n\nGet fully vaccinated against #COVID-19 in any of the 6000 health facilities nationwide. The vaccine is free and available for all eligible populations.\n\nChanjwa! Pata Chanjo, t...",,,
